[2026-01-25--22-42-59 INFO actix_server::builder] starting 5 workers
[2026-01-25--22-42-59 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-01-25--22-42-59 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-01-25--22-43-00 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-01-25--22-43-47 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53005.
[2026-01-25--22-44-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53116.
[2026-01-25--22-44-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53119.
[2026-01-25--22-44-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET / HTTP/1.1" 200 4593 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.014435
[2026-01-25--22-44-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/surfpool.svg HTTP/1.1" 200 6281 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.001595
[2026-01-25--22-44-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/txtx.png HTTP/1.1" 200 4197 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000373
[2026-01-25--22-44-19 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/css/55d90b160440e92e.css HTTP/1.1" 200 29946 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.007777
[2026-01-25--22-44-20 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/main-app-868ea075468a4ecd.js HTTP/1.1" 200 220 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000156
[2026-01-25--22-44-20 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/webpack-80204062da241935.js HTTP/1.1" 200 4830 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000871
[2026-01-25--22-44-20 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/08b39ec4-b928729c1809cb2c.js HTTP/1.1" 200 2705 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.001485
